id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,perceptions_of_corruption
55,2018,Honduras,5.504,72,0.62,1.205,0.622,0.459,0.197,0.074
56,2018,Hong Kong,5.43,76,1.405,1.29,1.03,0.524,0.246,0.291
57,2018,Hungary,5.62,69,1.171,1.401,0.732,0.259,0.061,0.022
58,2018,Iceland,7.495,4,1.343,1.644,0.914,0.677,0.353,0.138
59,2018,India,4.19,133,0.721,0.747,0.485,0.539,0.172,0.093
60,2018,Indonesia,5.093,96,0.899,1.215,0.522,0.538,0.484,0.018
61,2018,Iran,4.707,106,1.059,0.771,0.691,0.459,0.282,0.129
62,2018,Iraq,4.456,117,1.01,0.971,0.536,0.304,0.148,0.095
63,2018,Ireland,6.977,14,1.448,1.583,0.876,0.614,0.307,0.306
64,2018,Israel,6.814,19,1.301,1.559,0.883,0.533,0.354,0.272
65,2018,Italy,6,47,1.264,1.501,0.946,0.281,0.137,0.028
66,2018,Ivory Coast,4.671,107,0.541,0.872,0.08,0.467,0.146,0.103
67,2018,Jamaica,5.89,56,0.819,1.493,0.693,0.575,0.096,0.031
68,2018,Japan,5.915,54,1.294,1.462,0.988,0.553,0.079,0.15
69,2018,Jordan,5.161,90,0.822,1.265,0.645,0.468,0.13,0.134
70,2018,Kazakhstan,5.79,60,1.143,1.516,0.631,0.454,0.148,0.121
71,2018,Kenya,4.41,124,0.493,1.048,0.454,0.504,0.352,0.055
72,2018,Kosovo,5.662,66,0.855,1.23,0.578,0.448,0.274,0.023
73,2018,Kuwait,6.083,45,1.474,1.301,0.675,0.554,0.167,0.106
74,2018,Kyrgyzstan,5.131,92,0.53,1.416,0.594,0.54,0.281,0.035
75,2018,Laos,4.623,110,0.72,1.034,0.441,0.626,0.23,0.174
76,2018,Latvia,5.933,53,1.148,1.454,0.671,0.363,0.092,0.066
77,2018,Lebanon,5.358,80,0.965,1.179,0.785,0.503,0.214,0.136
78,2018,Lesotho,3.808,141,0.472,1.215,0.079,0.423,0.116,0.112
79,2018,Liberia,3.495,149,0.076,0.858,0.267,0.419,0.206,0.03
80,2018,Libya,5.566,70,0.985,1.35,0.553,0.496,0.116,0.148
81,2018,Lithuania,5.952,50,1.197,1.527,0.716,0.35,0.026,0.006
82,2018,Luxembourg,6.91,17,1.576,1.52,0.896,0.632,0.196,0.321
83,2018,Macedonia,5.185,89,0.959,1.239,0.691,0.394,0.173,0.052
84,2018,Madagascar,3.774,143,0.262,0.908,0.402,0.221,0.155,0.049
85,2018,Malawi,3.587,147,0.186,0.541,0.306,0.531,0.21,0.08
86,2018,Malaysia,6.322,35,1.161,1.258,0.669,0.356,0.311,0.059
87,2018,Mali,4.447,118,0.37,1.233,0.152,0.367,0.139,0.056
88,2018,Malta,6.627,22,1.27,1.525,0.884,0.645,0.376,0.142
89,2018,Mauritania,4.356,126,0.557,1.245,0.292,0.129,0.134,0.093
90,2018,Mauritius,5.891,55,1.09,1.387,0.684,0.584,0.245,0.05
91,2018,Mexico,6.488,24,1.038,1.252,0.761,0.479,0.069,0.095
92,2018,Moldova,5.64,67,0.657,1.301,0.62,0.232,0.171,0
93,2018,Mongolia,5.125,94,0.914,1.517,0.575,0.395,0.253,0.032
94,2018,Montenegro,5.347,81,1.017,1.279,0.729,0.259,0.111,0.081
95,2018,Morocco,5.254,85,0.779,0.797,0.669,0.46,0.026,0.074
96,2018,Mozambique,4.417,123,0.198,0.902,0.173,0.531,0.206,0.158
97,2018,Myanmar,4.308,130,0.682,1.174,0.429,0.58,0.598,0.178
98,2018,Namibia,4.441,119,0.874,1.281,0.365,0.519,0.051,0.064
99,2018,Nepal,4.88,101,0.425,1.228,0.539,0.526,0.302,0.078
100,2018,Netherlands,7.441,6,1.361,1.488,0.878,0.638,0.333,0.295
101,2018,New Zealand,7.324,8,1.268,1.601,0.876,0.669,0.365,0.389
102,2018,Nicaragua,6.141,41,0.668,1.319,0.7,0.527,0.208,0.128
103,2018,Niger,4.166,134,0.131,0.867,0.221,0.39,0.175,0.099
104,2018,Nigeria,5.155,91,0.689,1.172,0.048,0.462,0.201,0.032
105,2018,Northern Cyprus,5.835,58,1.229,1.211,0.909,0.495,0.179,0.154
106,2018,Norway,7.594,2,1.456,1.582,0.861,0.686,0.286,0.34
107,2018,Pakistan,5.472,75,0.652,0.81,0.424,0.334,0.216,0.113
108,2018,Palestinian Territories,4.743,104,0.642,1.217,0.602,0.266,0.086,0.076
109,2018,Panama,6.43,27,1.112,1.438,0.759,0.597,0.125,0.063
110,2018,Paraguay,5.681,64,0.835,1.522,0.615,0.541,0.162,0.074
111,2018,Peru,5.663,65,0.934,1.249,0.674,0.53,0.092,0.034
112,2018,Philippines,5.524,71,0.775,1.312,0.513,0.643,0.12,0.105
113,2018,Poland,6.123,42,1.176,1.448,0.781,0.546,0.108,0.064
114,2018,Portugal,5.41,77,1.188,1.429,0.884,0.562,0.055,0.017
115,2018,Qatar,6.374,32,1.649,1.303,0.748,0.654,0.256,0.171
116,2018,Romania,5.945,52,1.116,1.219,0.726,0.528,0.088,0.001
117,2018,Russia,5.81,59,1.151,1.479,0.599,0.399,0.065,0.025
118,2018,Rwanda,3.408,151,0.332,0.896,0.4,0.636,0.2,0.444
119,2018,Saudi Arabia,6.371,33,1.379,1.331,0.633,0.509,0.098,0.127
120,2018,Senegal,4.631,109,0.429,1.117,0.433,0.406,0.138,0.082
121,2018,Serbia,5.398,78,0.975,1.369,0.685,0.288,0.134,0.043
122,2018,Sierra Leone,4.571,113,0.256,0.813,0,0.355,0.238,0.053
123,2018,Singapore,6.343,34,1.529,1.451,1.008,0.631,0.261,0.457
124,2018,Slovakia,6.173,39,1.21,1.537,0.776,0.354,0.118,0.014
125,2018,Slovenia,5.948,51,1.219,1.506,0.856,0.633,0.16,0.051
126,2018,Somalia,4.982,98,0,0.712,0.115,0.674,0.238,0.282
127,2018,South Africa,4.724,105,0.94,1.41,0.33,0.516,0.103,0.056
128,2018,South Korea,5.875,57,1.266,1.204,0.955,0.244,0.175,0.051
129,2018,South Sudan,3.254,154,0.337,0.608,0.177,0.112,0.224,0.106
130,2018,Spain,6.31,36,1.251,1.538,0.965,0.449,0.142,0.074
131,2018,Sri Lanka,4.471,116,0.918,1.314,0.672,0.585,0.307,0.05
132,2018,Sudan,4.139,137,0.605,1.24,0.312,0.016,0.134,0.082
133,2018,Sweden,7.314,9,1.355,1.501,0.913,0.659,0.285,0.383
134,2018,Switzerland,7.487,5,1.42,1.549,0.927,0.66,0.256,0.357
135,2018,Syria,3.462,150,0.689,0.382,0.539,0.088,0.376,0.144
136,2018,Taiwan,6.441,26,1.365,1.436,0.857,0.418,0.151,0.078
137,2018,Tajikistan,5.199,88,0.474,1.166,0.598,0.292,0.187,0.034
138,2018,United Republic of Tanzania,3.303,153,0.455,0.991,0.381,0.481,0.27,0.097
139,2018,Thailand,6.072,46,1.016,1.417,0.707,0.637,0.364,0.029
140,2018,Togo,3.999,139,0.259,0.474,0.253,0.434,0.158,0.101
141,2018,Trinidad & Tobago,6.192,38,1.223,1.492,0.564,0.575,0.171,0.019
142,2018,Tunisia,4.592,111,0.9,0.906,0.69,0.271,0.04,0.063
143,2018,Turkey,5.483,74,1.148,1.38,0.686,0.324,0.106,0.109
144,2018,Turkmenistan,5.636,68,1.016,1.533,0.517,0.417,0.199,0.037
145,2018,Uganda,4.161,135,0.322,1.09,0.237,0.45,0.259,0.061
146,2018,Ukraine,4.103,138,0.793,1.413,0.609,0.163,0.187,0.011
147,2018,United Arab Emirates,6.774,20,2.096,0.776,0.67,0.284,0.186,
148,2018,United Kingdom,7.19,11,1.244,1.433,0.888,0.464,0.262,0.082
149,2018,United States of America,6.886,18,1.398,1.471,0.819,0.547,0.291,0.133
150,2018,Uruguay,6.379,31,1.093,1.459,0.771,0.625,0.13,0.155
151,2018,Uzbekistan,6.096,44,0.719,1.584,0.605,0.724,0.328,0.259
152,2018,Venezuela,4.806,102,0.996,1.469,0.657,0.133,0.056,0.052
153,2018,Vietnam,5.103,95,0.715,1.365,0.702,0.618,0.177,0.079
154,2018,Yemen,3.355,152,0.442,1.073,0.343,0.244,0.083,0.064
155,2018,Zambia,4.377,125,0.562,1.047,0.295,0.503,0.221,0.082
156,2018,Zimbabwe,3.692,144,0.357,1.094,0.248,0.406,0.132,0.099
