id,year,country,score,overall_rank,gdp_per_capita,social_support,healthy_life_expectancy,freedom_to_make_life_choices,generosity,trust,residual
64,2017,Israel,7.213,11,1.375,1.376,0.838,0.406,0.33,0.085,2.802
65,2017,Italy,5.964,48,1.395,1.445,0.853,0.256,0.173,0.028,1.813
66,2017,Ivory Coast,4.18,128,0.603,0.905,0.049,0.448,0.201,0.13,1.845
67,2017,Jamaica,5.311,76,0.926,1.368,0.641,0.474,0.234,0.055,1.612
68,2017,Japan,5.92,51,1.417,1.436,0.913,0.506,0.121,0.164,1.363
69,2017,Jordan,5.336,74,0.991,1.239,0.605,0.418,0.172,0.12,1.791
70,2017,Kazakhstan,5.819,60,1.285,1.384,0.606,0.437,0.202,0.119,1.785
71,2017,Kenya,4.553,112,0.56,1.068,0.31,0.453,0.445,0.065,1.652
72,2017,Kosovo,5.279,78,0.951,1.138,0.541,0.26,0.32,0.057,2.011
73,2017,Kuwait,6.105,39,1.633,1.26,0.632,0.496,0.228,0.215,1.64
74,2017,Kyrgyzstan,5.004,98,0.596,1.394,0.553,0.455,0.429,0.039,1.537
75,2017,Latvia,5.85,54,1.261,1.405,0.639,0.326,0.153,0.074,1.994
76,2017,Lebanon,5.225,88,1.075,1.13,0.735,0.289,0.264,0.038,1.695
77,2017,Lesotho,3.808,139,0.521,1.19,0,0.391,0.157,0.119,1.43
78,2017,Liberia,3.533,148,0.119,0.872,0.23,0.333,0.267,0.039,1.673
79,2017,Libya,5.525,68,1.102,1.358,0.52,0.466,0.152,0.093,1.835
80,2017,Lithuania,5.902,52,1.315,1.474,0.629,0.234,0.01,0.012,2.228
81,2017,Luxembourg,6.863,18,1.742,1.458,0.845,0.597,0.283,0.319,1.62
82,2017,Macedonia,5.175,92,1.065,1.208,0.645,0.326,0.254,0.06,1.617
83,2017,Madagascar,3.644,144,0.306,0.913,0.375,0.189,0.209,0.067,1.585
84,2017,Malawi,3.97,136,0.233,0.513,0.315,0.467,0.287,0.073,2.082
85,2017,Malaysia,6.084,42,1.291,1.285,0.619,0.402,0.417,0.066,2.004
86,2017,Mali,4.19,127,0.476,1.281,0.169,0.307,0.183,0.105,1.668
87,2017,Malta,6.527,27,1.343,1.488,0.822,0.589,0.575,0.153,1.557
88,2017,Mauritania,4.292,123,0.648,1.272,0.285,0.096,0.202,0.137,1.652
89,2017,Mauritius,5.629,64,1.189,1.21,0.638,0.491,0.361,0.042,1.698
90,2017,Mexico,6.578,25,1.153,1.211,0.71,0.413,0.121,0.133,2.837
91,2017,Moldova,5.838,55,0.729,1.252,0.589,0.241,0.209,0.01,2.808
92,2017,Mongolia,4.955,100,1.027,1.493,0.558,0.394,0.338,0.033,1.111
93,2017,Montenegro,5.237,83,1.121,1.238,0.667,0.195,0.198,0.088,1.729
94,2017,Morocco,5.235,84,0.878,0.775,0.598,0.408,0.032,0.088,2.456
95,2017,Mozambique,4.55,113,0.234,0.871,0.107,0.481,0.322,0.179,2.356
96,2017,Myanmar,4.545,114,0.367,1.123,0.398,0.514,0.838,0.189,1.115
97,2017,Namibia,4.574,111,0.964,1.098,0.339,0.52,0.077,0.093,1.482
98,2017,Nepal,4.962,99,0.48,1.179,0.504,0.44,0.394,0.073,1.891
99,2017,Netherlands,7.377,6,1.504,1.429,0.811,0.585,0.47,0.283,2.295
100,2017,New Zealand,7.314,8,1.406,1.548,0.817,0.614,0.5,0.383,2.046
101,2017,Nicaragua,6.071,43,0.737,1.287,0.653,0.448,0.302,0.131,2.514
102,2017,Niger,4.028,135,0.162,0.993,0.269,0.364,0.229,0.139,1.874
103,2017,Nigeria,5.074,95,0.784,1.216,0.057,0.395,0.231,0.026,2.365
104,2017,Northern Cyprus,5.81,61,1.347,1.186,0.835,0.471,0.267,0.155,1.549
105,2017,Norway,7.537,1,1.616,1.534,0.797,0.635,0.362,0.316,2.277
106,2017,Pakistan,5.269,80,0.727,0.673,0.402,0.235,0.315,0.124,2.792
107,2017,Palestinian Territories,4.775,103,0.716,1.156,0.566,0.255,0.114,0.089,1.879
108,2017,Panama,6.452,30,1.234,1.373,0.706,0.55,0.211,0.071,2.307
109,2017,Paraguay,5.493,70,0.933,1.507,0.579,0.474,0.224,0.091,1.685
110,2017,Peru,5.715,63,1.035,1.219,0.63,0.45,0.127,0.047,2.207
111,2017,Philippines,5.43,72,0.858,1.254,0.468,0.585,0.194,0.099,1.973
112,2017,Poland,5.973,46,1.292,1.446,0.699,0.52,0.158,0.059,1.798
113,2017,Portugal,5.195,89,1.315,1.367,0.796,0.498,0.095,0.016,1.108
114,2017,Qatar,6.375,35,1.871,1.274,0.71,0.604,0.33,0.439,1.145
115,2017,Romania,5.825,57,1.218,1.15,0.685,0.457,0.134,0.004,2.177
116,2017,Russia,5.963,49,1.282,1.469,0.547,0.374,0.052,0.033,2.206
117,2017,Rwanda,3.471,151,0.369,0.946,0.326,0.582,0.253,0.455,0.54
118,2017,Saudi Arabia,6.344,37,1.531,1.287,0.59,0.45,0.148,0.273,2.065
119,2017,Senegal,4.535,115,0.479,1.18,0.409,0.378,0.183,0.115,1.79
120,2017,Serbia,5.395,73,1.069,1.258,0.651,0.209,0.22,0.041,1.947
121,2017,Sierra Leone,4.709,106,0.368,0.984,0.006,0.319,0.293,0.071,2.668
122,2017,Singapore,6.572,26,1.692,1.354,0.949,0.55,0.346,0.464,1.216
123,2017,Slovakia,6.098,40,1.325,1.505,0.713,0.296,0.137,0.024,2.098
124,2017,Slovenia,5.758,62,1.341,1.453,0.791,0.573,0.243,0.045,1.313
125,2017,Somalia,5.151,93,0.023,0.721,0.114,0.602,0.292,0.282,3.117
126,2017,South Africa,4.829,101,1.055,1.385,0.187,0.479,0.139,0.073,1.511
127,2017,South Korea,5.838,56,1.402,1.128,0.9,0.258,0.207,0.063,1.88
128,2017,South Sudan,3.591,147,0.397,0.601,0.163,0.147,0.286,0.117,1.88
129,2017,Spain,6.403,34,1.384,1.532,0.889,0.409,0.19,0.071,1.928
130,2017,Sri Lanka,4.44,120,1.01,1.26,0.625,0.561,0.491,0.074,0.419
131,2017,Sudan,4.139,130,0.66,1.214,0.291,0.015,0.182,0.09,1.687
132,2017,Sweden,7.284,10,1.494,1.478,0.831,0.613,0.385,0.384,2.098
133,2017,Switzerland,7.494,4,1.565,1.517,0.858,0.62,0.291,0.367,2.277
134,2017,Syria,3.462,152,0.777,0.396,0.501,0.082,0.494,0.151,1.062
135,2017,Taiwan,6.422,33,1.434,1.385,0.794,0.361,0.258,0.064,2.127
136,2017,Tajikistan,5.041,96,0.525,1.271,0.529,0.472,0.249,0.146,1.849
137,2017,Tanzania,3.349,153,0.511,1.042,0.365,0.39,0.354,0.066,0.621
138,2017,Thailand,6.424,32,1.128,1.426,0.647,0.58,0.572,0.032,2.04
139,2017,Togo,3.495,150,0.305,0.432,0.247,0.38,0.197,0.096,1.837
140,2017,Trinidad and Tobago,6.168,38,1.361,1.38,0.52,0.519,0.325,0.009,2.053
141,2017,Tunisia,4.805,102,1.007,0.868,0.613,0.29,0.05,0.087,1.89
142,2017,Turkey,5.5,69,1.198,1.338,0.638,0.301,0.047,0.1,1.879
143,2017,Turkmenistan,5.822,59,1.131,1.493,0.438,0.418,0.25,0.259,1.833
144,2017,Uganda,4.081,133,0.381,1.13,0.218,0.443,0.326,0.057,1.526
145,2017,Ukraine,4.096,132,0.895,1.395,0.576,0.123,0.27,0.023,0.814
146,2017,United Arab Emirates,6.648,21,1.626,1.266,0.727,0.608,0.361,0.324,1.735
147,2017,United Kingdom,6.714,19,1.442,1.496,0.805,0.508,0.493,0.265,1.704
148,2017,United States of America,6.993,14,1.546,1.42,0.774,0.506,0.393,0.136,2.218
149,2017,Uruguay,6.454,28,1.218,1.412,0.719,0.579,0.175,0.178,2.172
150,2017,Uzbekistan,5.971,47,0.786,1.549,0.498,0.658,0.416,0.247,1.817
151,2017,Venezuela,5.25,82,1.128,1.431,0.617,0.154,0.065,0.064,1.789
152,2017,Vietnam,5.074,94,0.789,1.277,0.652,0.571,0.235,0.088,1.462
153,2017,Yemen,3.593,146,0.592,0.935,0.31,0.249,0.104,0.057,1.346
154,2017,Zambia,4.514,116,0.636,1.003,0.258,0.462,0.25,0.078,1.827
155,2017,Zimbabwe,3.875,138,0.376,1.083,0.197,0.336,0.189,0.095,1.598
